Date,Result,Defender_Sum,Forward_Sum,Goalkeeper_Sum,Midfielder_Sum,Win
2018-04-15,W,43.9,42.434747169476594,15.72,18.867777777777775,1
2018-04-25,W,54.2369696969697,9.126666666666667,7.5,33.18439024390244,1
2018-04-28,W,44.9,35.77540983606558,14.42,21.81693612210288,1
2018-05-09,L,37.9,11.799999999999999,13.5,33.70732052578362,0
2018-05-12,W,40.9,72.98611670020121,17.14,39.76,1
2018-05-26,W,52.233333333333334,21.33636363636364,12.18,31.15,1
2018-08-19,W,41.4,21.905263157894733,18.18,34.47244702665755,1
2018-08-26,W,42.501694915254234,45.17209302325582,17.9,37.09263157894737,1
2018-09-01,W,24.4,47.05974025974026,20.0,33.14195590729226,1
2018-09-19,W,29.9,70.77173544375353,16.66,45.54714285714286,1
2018-09-22,W,50.400000000000006,26.14305610797683,15.14,37.06770609318997,1
2018-09-26,L,26.2472030651341,21.570474137931036,20.0,49.412317977915805,0
2018-10-02,L,43.93571428571428,16.800000000000004,18.58,39.85674641148325,0
2018-10-06,L,32.9,20.94090838546971,17.72,22.158925318761383,0
2018-10-20,L,28.849999999999998,46.56213778020776,16.840000000000003,50.42,0
2018-10-23,W,44.9,41.67199620570474,19.1,29.89246246246246,1
2018-10-28,L,37.61222222222222,14.984812030075187,15.34,16.279999999999998,0
2018-11-03,W,42.900000000000006,28.085714285714285,14.74,47.08519480519481,1
2018-11-07,W,38.8472030651341,60.226229508196724,16.56,38.92,1
2018-11-11,W,40.15458874458874,23.322222222222223,10.0,29.240000000000002,1
2018-11-24,L,44.77353391126976,10.94705882352941,16.28,27.709124423963132,0
2018-11-27,W,43.4,42.132276474318324,15.22,30.666950517836593,1
2018-12-01,W,34.4,33.772350230414744,18.62,36.10552194640802,1
2018-12-09,W,40.4,0.1,15.0,29.201751932278246,1
2018-12-12,L,33.16301369863014,15.299999999999999,15.46,31.560095693779907,0
2018-12-15,W,24.4,33.92387612387612,14.7,31.485168539325844,1
2019-01-06,L,49.50526315789473,17.016666666666666,15.18,36.976282310392506,0
2019-01-13,W,36.56330289193303,27.267124183006537,9.52,17.51222222222222,1
2019-01-19,W,20.9,16.728571428571428,13.54,30.495172413793103,1
2019-01-27,W,30.395555555555553,51.44285714285714,12.0,34.82333333333333,1
2019-02-03,W,35.4,75.81367354386859,16.0,31.939999999999998,1
2019-02-09,W,25.4,23.09879679144385,13.94,27.23228915662651,1
2019-02-13,W,49.4,63.4875,12.68,19.380000000000003,1
2019-02-17,L,21.43259675405743,37.13701874664723,16.580000000000002,21.52385083713851,0
2019-02-24,W,33.070915032679736,46.26458402940194,13.119999999999996,32.69374331550802,1
2019-03-02,L,28.9,12.799999999999999,15.16,43.38,0
2019-03-05,L,39.9494506866417,46.15900650582814,9.4,31.701860465116276,0
2019-03-10,W,39.24835423197492,30.8,10.34,30.660860122558933,1
2019-03-16,W,28.9,33.855555555555554,16.0,62.19049478535048,1
2019-03-31,W,26.9,48.800000000000004,0.0,32.56428274428274,1
2019-04-03,L,36.4,19.99264069264069,16.16,43.862857142857145,0
2019-04-06,W,37.9,35.0774269005848,15.68,39.33243624041376,1
2019-04-21,W,36.4,58.7472049689441,14.2,33.97664596273292,1
2019-04-28,L,42.400000000000006,7.455555555555555,15.14,27.798036529680367,0
2019-05-05,W,31.9,41.73994134819883,18.28,40.36982475975127,1
2019-05-12,L,43.44748538011696,24.276319444444443,16.36,19.620120990120988,0
2019-05-19,L,34.9,12.05483870967742,16.52,24.040802139037435,0
2019-08-17,W,25.4,49.01453453453453,12.0,33.3310606060606,1
2019-09-14,W,41.87949699289229,51.066466474342164,16.22,45.41131826741996,1
2019-09-18,L,23.4,10.184421086160217,17.86,24.911221532091098,0
2019-09-22,W,40.9,20.82247191011236,12.66,24.54,1
2019-09-25,W,31.4,7.1,17.36,55.58920634920635,1
2019-10-05,W,27.4,78.90695187165777,14.62,42.42708133971292,1
2019-10-19,L,41.011248097412484,8.140277777777778,19.16,25.74145299145299,0
2019-10-22,W,53.4,44.248717948717946,13.119999999999996,26.188461538461535,1
2019-10-30,W,25.9,69.71304347826087,18.62,44.393254090721584,1
2019-11-06,W,28.318367346938775,67.98429591174562,19.24,35.337353745215964,1
2019-11-09,W,33.4,21.05880281690141,13.62,24.581408450704224,1
2019-11-23,W,32.4,43.20909090909091,15.0,48.37317073170732,1
2019-11-30,W,35.80111111111111,11.881013505844967,17.34,28.897583429228998,1
2019-12-07,W,32.44655826558265,35.79333333333334,14.36,26.547142857142855,1
2019-12-11,W,22.4,40.47763157894737,15.24,33.49759036144579,1
2020-01-04,W,51.4,17.987499999999997,12.72,28.88,1
2020-01-18,W,54.18571428571428,22.43058224985868,16.259999999999998,21.04,1
2020-01-26,W,48.4,5.566853932584269,13.1,24.76689655172414,1
2020-02-01,W,31.9,23.35,16.66,31.55,1
2020-02-09,W,34.4,88.68793103448276,12.0,34.48,1
2020-02-22,L,38.4,18.175,15.24,23.1175,0
2020-02-26,L,30.98267973856209,35.07635542168674,18.04,23.181204819277106,0
2020-03-01,W,36.4,28.63932584269663,19.1,42.64502262443439,1
2020-03-08,L,39.779310344827586,28.715353535353536,16.0,34.92917546505782,0
2020-06-14,W,51.4,14.299999999999999,10.1,15.3255421686747,1
2020-06-18,W,29.9,64.18199480705525,16.0,29.979999999999997,1
2020-06-21,W,52.81829241015954,24.31398601398601,15.82,28.695,1
2020-06-24,W,28.4,46.37317073170732,17.42,43.40808043285149,1
2020-06-28,W,29.4,18.036559139784945,16.66,18.759999999999998,1
2020-07-02,W,41.606896551724134,13.919971003986953,16.82,15.215023041474655,1
2020-07-05,W,38.4,13.992473449284287,14.480000000000002,30.41857142857143,1
2020-07-10,W,31.4,62.448454106280195,19.44,23.080852738424795,1
2020-07-13,W,17.4,14.6,14.8,56.85142857142857,1
2020-07-16,W,22.074698795180723,25.00689655172414,15.659999999999998,42.66285714285714,1
2020-08-07,L,37.680487804878055,28.446341463414637,13.34,16.034133969600564,0
2020-09-26,W,33.9,16.200000000000003,18.28,39.738616600790515,1
2020-09-30,W,39.424159663865545,36.56919995549126,17.94,29.30483193277311,1
2020-10-04,W,28.9,45.108823529411765,12.76,28.463636363636365,1
2020-10-17,L,43.4,18.275982905982907,19.340000000000003,34.3097113997114,0
2020-10-21,L,35.9,30.168534482758627,20.0,32.15304347826087,0
2020-10-24,W,48.15,22.799999999999997,16.880000000000003,31.328449197860962,1
2020-10-31,W,31.69185520361991,58.92247129579005,18.06,43.758929691862825,1
2020-11-03,W,35.9,44.32380952380952,16.0,31.53922077922078,1
2020-11-08,L,22.9,42.37079365079366,18.46,40.94867208672087,0
2020-11-25,W,23.4,40.21052374349788,17.14,40.09377990430622,1
2020-11-28,L,30.370588235294115,20.478571428571428,12.5,36.72807486631016,0
2020-12-01,L,26.4,14.843233082706766,17.9,28.61383458646616,0
2020-12-05,W,39.400000000000006,10.299999999999999,11.12,15.100000000000001,1
2020-12-09,W,18.4,32.630426179604264,17.88,21.039999999999996,1
2020-12-12,W,43.77128205128205,7.3133333333333335,14.5,29.88275862068965,1
2020-12-15,W,47.9,35.03617511520738,20.0,39.35714285714286,1
2020-12-20,W,36.9,58.87487027427724,13.68,24.731119347664936,1
2020-12-23,W,30.9,32.77834725193216,14.080000000000002,34.574065934065935,1
2021-01-02,W,35.39333333333333,45.022150736237236,14.2,34.53285714285714,1
2021-01-23,W,32.815555555555555,42.69089605734768,16.919999999999998,44.620526315789476,1
2021-01-30,L,13.308888888888887,26.40111111111111,13.8,29.54,0
2021-02-06,W,33.59984126984127,14.8,16.48,30.22,1
2021-02-09,W,15.299999999999999,25.8,14.64,20.194444444444443,1
2021-02-14,W,42.68571428571428,22.079975579975578,17.86,42.073076923076925,1
2021-02-20,W,46.9,2.985897435897436,14.0,34.607777777777784,1
2021-02-24,W,32.400000000000006,12.728011204481794,18.0,35.980000000000004,1
2021-03-13,W,16.016666666666666,28.433333333333337,19.14,43.131441492368566,1
2021-03-16,W,66.23809523809524,33.337700534759364,11.76,32.026666666666664,1
2021-03-20,W,25.9,54.97222222222223,13.96,29.580634920634918,1
2021-04-03,W,39.5042951907131,21.365822784810124,17.6,57.73417910447761,1
2021-04-06,W,30.4,45.61942028985507,15.38,34.346666666666664,1
2021-04-10,W,36.730357142857144,14.53661971830986,12.3,40.32011851382955,1
2021-04-21,W,39.2159477124183,33.7621273166801,18.700000000000003,38.35946727549467,1
2021-05-01,W,22.685714285714287,19.22781262098335,17.84,37.6846404744255,1
2021-05-05,L,31.421039426523297,6.7340909090909085,18.12,23.504444444444445,0
2021-05-13,W,33.85,49.719884859123496,18.28,35.64305257207462,1
2021-05-16,W,23.4,3.7600725952813066,15.46,32.739999999999995,1
2021-05-22,W,15.071641791044774,29.656868686868687,20.0,33.91533522861881,1
2021-08-14,W,34.9,58.37159743241833,15.48,46.72551724137931,1
2021-08-28,W,37.48867208672087,32.881821511821514,15.68,19.021452991452993,1
2021-09-12,W,34.9,32.01837606837607,15.5,42.804945609945605,1
2021-09-15,W,30.4,25.026015557476235,17.72,34.87012658227848,1
2021-09-19,W,33.5,53.37049783549784,15.56,29.99804861804862,1
2021-09-22,W,38.95739803094233,57.1331982690157,16.840000000000003,38.1769236917288,1
2021-09-28,L,14.592307692307694,42.01538461538462,16.36,33.54923076923077,0
2021-10-03,L,15.399999999999999,31.262222222222228,20.0,33.21883040935673,0
2021-10-19,W,30.727975376196994,73.89090909090909,17.44,44.38575424575424,1
2021-10-24,W,19.301111111111112,40.5326917057903,13.6,17.26,1
2021-10-30,W,48.92067307692307,44.14479682283872,19.0,49.660963855421684,1
2021-11-03,W,44.784615384615385,29.492307692307694,18.18,23.52,1
2021-11-06,W,35.94494382022472,38.12926829268293,18.1,24.840000000000003,1
2021-11-21,W,35.985365853658536,57.851537070524415,16.0,59.02998849252014,1
2021-11-24,W,59.25581194536737,44.26385542168675,19.24,30.950602409638552,1
2021-11-28,W,20.92136079900125,32.737908863920104,15.419999999999998,28.069999999999997,1
2021-12-01,W,45.3873417721519,26.014285714285716,13.34,36.15652173913043,1
2021-12-04,W,42.9,47.94864864864866,8.759999999999998,33.746875,1
2021-12-07,W,28.4,41.15871090934381,14.78,31.415454545454544,1
2021-12-12,W,27.4625,37.05913621262459,16.66,19.98,1
2021-12-22,W,42.400000000000006,26.462653301020783,13.119999999999996,29.54,1
2022-01-02,L,31.036190476190477,4.675,15.5,29.774285714285714,0
2022-01-08,W,25.539534883720933,45.04286469344609,17.24,33.56496894409938,1
2022-02-06,W,33.195180722891564,43.7375,14.880000000000004,47.32325581395349,1
2022-02-15,L,35.1416604892513,5.036842105263157,16.0,23.633333333333333,0
2022-02-19,W,21.629235880398674,62.18888888888889,17.78,32.83777777777778,1
2022-02-26,W,42.4,38.396027935399395,14.22,33.955862068965516,1
2022-03-05,W,33.32168674698795,56.60186409799599,17.6,29.304444444444446,1
2022-03-09,W,47.43846153846154,45.32836134453782,12.72,38.784201680672275,1
2022-03-14,W,49.99525119899363,43.05,16.36,23.159272826681246,1
2022-03-20,L,51.10806451612903,17.470737327188942,15.48,19.099999999999998,0
2022-04-02,W,43.72142857142857,21.55,18.18,21.843737769080235,1
2022-04-06,W,47.85238095238095,30.594117647058823,13.88,29.83890410958904,1
2022-04-09,W,29.4,39.63421119867927,16.52,31.653513513513513,1
