Date,Result,Rebalanced_Score,Win
2022-04-06,W,7.45972602739726,1
2022-04-09,W,7.913378378378378,1
2022-04-12,L,5.207109560859561,0
2022-04-17,W,7.495462962962963,1
2022-04-20,W,8.722324853228962,1
2022-04-26,L,3.82187728937729,0
2022-04-30,W,11.208049919794043,1
2022-05-04,W,5.011075827287378,1
2022-05-08,L,6.523283582089552,0
2022-05-12,W,10.830673798798799,1
2022-05-28,W,4.5703370786516855,1
2022-08-14,W,7.514274948889841,1
2022-08-20,W,9.153206675224647,1
2022-08-28,W,10.709505420628672,1
2022-09-03,W,11.22817827107333,1
2022-09-06,W,5.934055656017682,1
2022-09-11,W,14.032269570707072,1
2022-09-14,W,8.599464285714285,1
2022-09-18,W,7.535058823529411,1
2022-10-05,W,8.746604729729729,1
2022-10-08,W,8.005004516711834,1
2022-10-16,W,5.889025974025974,1
2022-10-19,W,7.602715689788527,1
2022-10-22,W,10.05333140543667,1
2022-10-25,L,7.181111111111112,0
2022-11-02,W,9.533076923076923,1
2022-11-07,L,4.995614630467571,0
2022-11-10,W,13.006825396825397,1
2022-12-30,W,8.572428940568475,1
2023-01-07,L,6.9662111801242235,0
2023-01-22,W,5.262857142857143,1
2023-02-02,W,7.595999999999999,1
2023-02-05,L,8.690105820105819,0
2023-02-15,W,9.48739260220636,1
2023-02-18,W,5.436381766381767,1
2023-02-21,W,5.882312661498709,1
2023-03-11,W,11.005890796835809,1
2023-03-15,W,5.407277108433735,1
2023-03-19,L,8.509580930846052,0
2023-04-02,W,8.99,1
2023-04-08,L,11.786061855406185,0
2023-04-12,W,7.970963855421687,1
2023-04-15,W,12.097623705408516,1
2023-04-18,W,4.670555555555556,1
2023-04-22,W,7.526875,1
2023-04-25,L,11.034642857142856,0
2023-04-29,W,10.253877151799689,1
2023-05-02,L,6.138231780167264,0
2023-05-13,W,9.009336010709504,1
2023-05-17,L,3.321929759361507,0
2023-05-21,L,6.659251089324619,0
2023-05-24,W,9.242580005120328,1
2023-05-27,W,8.273333333333332,1
2023-08-12,W,6.9314285714285715,1
2023-08-19,W,11.11327353194225,1
2023-08-25,W,5.731490484266064,1
2023-09-02,W,10.631486763926091,1
2023-09-17,W,6.8117733010432495,1
2023-09-20,W,9.633105786618446,1
2023-09-24,L,8.134215077335282,0
2023-09-27,W,6.918611602535751,1
2023-09-30,W,8.530074895839189,1
2023-10-03,W,9.342067307692307,1
2023-10-07,W,6.783892689963855,1
2023-10-24,W,6.383055555555555,1
2023-10-28,W,8.85021198156682,1
2023-11-08,W,8.044472162140512,1
2023-11-11,W,7.298058788304824,1
2023-11-26,W,8.335973364823225,1
2023-11-29,W,5.024880952380952,1
2023-12-02,W,11.88,1
2023-12-12,W,9.923957553058676,1
2023-12-17,W,9.542947052947053,1
2023-12-21,W,8.045,1
2024-01-03,W,7.183849911740852,1
2024-01-21,W,8.505060961582702,1
2024-01-27,W,9.16875798212005,1
2024-02-01,W,5.924310344827585,1
2024-02-10,W,9.190913713311412,1
2024-02-13,W,7.664501338688085,1
2024-02-25,W,9.419444444444444,1
2024-03-10,W,8.080722736192879,1
2024-03-16,W,4.959602586277901,1
2024-03-31,W,5.954166666666666,1
2024-04-13,W,4.629478991596638,1
2024-04-21,W,6.462285714285713,1
2024-04-26,W,5.734100847835788,1
2024-05-04,W,11.081611047180669,1
2024-05-08,W,6.250367608857579,1
2024-05-11,W,10.538260869565217,1
2024-05-14,W,12.755916441007285,1
2024-06-01,W,10.040145658263304,1
2024-08-25,W,6.873600713012478,1
2024-09-01,W,9.668472222222222,1
2024-09-14,W,5.8481578947368416,1
2024-09-17,W,8.237707083016659,1
2024-09-21,W,6.603180722891567,1
2024-09-24,W,8.279224598930481,1
2024-10-02,L,7.991942463854229,0
2024-10-05,W,9.86447369359729,1
2024-10-19,W,8.659799453831711,1
2024-10-22,W,9.077242732298911,1
2024-10-26,L,5.190200501253133,0
2024-11-05,L,9.3549576257812,0
2024-11-09,W,6.717891891891891,1
2024-11-24,W,9.213345345345346,1
2024-11-27,L,6.271293183940243,0
2024-12-01,W,9.819166666666666,1
2024-12-04,L,6.3062344172118605,0
2024-12-07,W,8.868333333333334,1
2024-12-10,W,5.3459579714205665,1
2024-12-22,W,6.37579156223893,1
2025-01-03,W,8.28267956193998,1
2025-01-19,W,8.985004516711834,1
2025-01-22,W,14.17457142857143,1
2025-01-25,W,9.368291846418453,1
2025-01-29,W,9.982482758620689,1
2025-02-01,L,7.005266334228359,0
2025-02-11,W,7.873864815002306,1
2025-02-19,W,6.1047285009480134,1
2025-02-23,W,10.044771241830066,1
2025-03-01,L,7.561042145593871,0
2025-03-04,W,8.190445851962243,1
2025-03-09,W,7.403724421371403,1
2025-03-12,L,7.591030328798186,0
2025-03-15,W,5.1091774025432555,1
2025-03-29,W,5.752499999999999,1
2025-04-05,L,9.45787552213868,0
2025-04-08,L,5.648272694845729,0
2025-04-13,W,8.006564339740931,1
2025-04-16,L,9.234444444444446,0
2025-04-20,W,8.374025594288753,1
2025-04-23,W,4.9614814814814805,1
2025-05-04,W,9.444528605962933,1
2025-05-11,L,3.4799999999999995,0
2025-05-14,W,12.685,1
2025-05-18,W,11.418888888888889,1
2025-05-24,W,8.691696813092163,1
