Date,Result,Forward_ Gls_sum,Forward_ Gls_mean,Forward_Ast_sum,Forward_Ast_mean,Forward_ SoT_sum,Forward_ SoT_mean,Forward_Take-Ons Att_sum,Forward_Take-Ons Att_mean,Forward_Expected xG_sum,Forward_Expected xG_mean,Forward_xAG_sum,Forward_xAG_mean,Forward_Rebalanced_Score_sum,Forward_Rebalanced_Score_mean,Midfielder_Passes Cmp_sum,Midfielder_Passes Cmp_mean,Midfielder_KP_sum,Midfielder_KP_mean,Midfielder_ Tkl_sum,Midfielder_ Tkl_mean,Midfielder_Tackles Tkl_sum,Midfielder_Tackles Tkl_mean,Midfielder_Carries Carries_sum,Midfielder_Carries Carries_mean,Midfielder_ Touches_sum,Midfielder_ Touches_mean,Midfielder_Rebalanced_Score_sum,Midfielder_Rebalanced_Score_mean,Defender_Int_sum,Defender_Int_mean,Defender_ Blocks_sum,Defender_ Blocks_mean,Defender_Clr_sum,Defender_Clr_mean,Defender_ Tkl_sum,Defender_ Tkl_mean,Defender_Tackles Tkl_sum,Defender_Tackles Tkl_mean,Defender_Rebalanced_Score_sum,Defender_Rebalanced_Score_mean,Goalkeeper_Passes Cmp%_sum,Goalkeeper_Passes Cmp%_mean,Goalkeeper_Passes Cmp_sum,Goalkeeper_Passes Cmp_mean,Goalkeeper_Err_sum,Goalkeeper_Err_mean,Goalkeeper_Passes PrgP_sum,Goalkeeper_Passes PrgP_mean,Goalkeeper_Total Cmp_sum,Goalkeeper_Total Cmp_mean,Goalkeeper_Rebalanced_Score_sum,Goalkeeper_Rebalanced_Score_mean,Win
2018-03-06,W,1.0,0.3333333333333333,1.0,0.3333333333333333,3.0,1.0,5.0,1.6666666666666667,0.9,0.3,0.7000000000000001,0.23333333333333336,38.1,12.700000000000001,259.0,43.166666666666664,10.0,1.6666666666666667,17.0,2.8333333333333335,17.0,2.8333333333333335,213.0,35.5,338.0,56.333333333333336,72.41936507936508,12.06989417989418,10.0,2.5,6.0,1.5,14.0,3.5,16.0,4.0,16.0,4.0,50.400000000000006,12.600000000000001,45.0,45.0,9.0,9.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,1
2018-03-10,W,2.0,0.6666666666666666,0.0,0.0,5.0,1.6666666666666667,4.0,1.3333333333333333,1.5,0.5,0.3,0.09999999999999999,25.722222222222225,8.574074074074074,153.0,30.6,5.0,1.0,7.0,1.4,7.0,1.4,175.0,35.0,229.0,45.8,28.776349206349202,5.755269841269841,5.0,1.0,3.0,0.6,30.0,6.0,9.0,1.8,9.0,1.8,54.18571428571428,10.837142857142856,60.6,60.6,20.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,12.12,12.12,1
2018-03-18,W,6.0,1.2,2.0,0.4,12.0,2.4,5.0,1.0,3.2,0.64,1.0,0.2,85.69092915214867,17.138185830429734,224.0,56.0,7.0,1.75,4.0,1.0,4.0,1.0,176.0,44.0,252.0,63.0,52.08474120082816,13.02118530020704,5.0,1.25,0.0,0.0,12.0,3.0,9.0,2.25,9.0,2.25,28.4,7.1,87.0,87.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,17.4,17.4,1
2018-03-31,W,1.0,0.5,0.0,0.0,3.0,1.5,3.0,1.5,2.0,1.0,0.5,0.25,21.700000000000003,10.850000000000001,178.0,29.666666666666668,7.0,1.1666666666666667,9.0,1.5,9.0,1.5,183.0,30.5,257.0,42.833333333333336,51.12215941209723,8.520359902016205,1.0,0.2,5.0,1.0,12.0,2.4,4.0,0.8,4.0,0.8,31.206451612903226,6.241290322580645,71.9,71.9,23.0,23.0,1.0,1.0,0.0,0.0,23.0,23.0,11.880000000000004,11.880000000000004,1
2018-04-03,W,2.0,0.5,1.0,0.25,4.0,1.0,7.0,1.75,1.7999999999999998,0.44999999999999996,1.7999999999999998,0.44999999999999996,43.780277777777776,10.945069444444444,274.0,54.8,3.0,0.6,6.0,1.2,6.0,1.2,233.0,46.6,324.0,64.8,42.538798798798794,8.50775975975976,2.0,0.5,7.0,1.75,8.0,2.0,6.0,1.5,6.0,1.5,37.4,9.35,73.3,73.3,22.0,22.0,0.0,0.0,0.0,0.0,22.0,22.0,14.66,14.66,1
2018-04-11,L,1.0,0.25,0.0,0.0,3.0,0.75,3.0,0.75,1.8,0.45,0.6,0.15,30.750000000000004,7.687500000000001,250.0,50.0,7.0,1.4,5.0,1.0,5.0,1.0,229.0,45.8,295.0,59.0,35.88351351351351,7.176702702702703,8.0,2.0,3.0,0.75,16.0,4.0,5.0,1.25,5.0,1.25,37.4,9.35,73.9,73.9,17.0,17.0,1.0,1.0,0.0,0.0,17.0,17.0,12.28,12.28,0
2018-04-15,W,1.0,0.2,1.0,0.2,3.0,0.6,6.0,1.2,1.3,0.26,2.0,0.4,42.434747169476594,8.486949433895319,160.0,53.333333333333336,1.0,0.3333333333333333,5.0,1.6666666666666667,5.0,1.6666666666666667,134.0,44.666666666666664,201.0,67.0,18.867777777777775,6.289259259259258,7.0,1.75,6.0,1.5,11.0,2.75,4.0,1.0,4.0,1.0,43.9,10.975,78.6,78.6,22.0,22.0,0.0,0.0,0.0,0.0,22.0,22.0,15.72,15.72,1
2018-04-25,W,0.0,0.0,0.0,0.0,1.0,0.5,3.0,1.5,0.2,0.1,0.0,0.0,9.126666666666667,4.5633333333333335,161.0,23.0,3.0,0.42857142857142855,11.0,1.5714285714285714,11.0,1.5714285714285714,164.0,23.428571428571427,244.0,34.857142857142854,33.18439024390244,4.740627177700349,6.0,1.5,12.0,3.0,17.0,4.25,7.0,1.75,7.0,1.75,54.2369696969697,13.559242424242425,50.0,50.0,13.0,13.0,1.0,1.0,0.0,0.0,13.0,13.0,7.5,7.5,1
2018-04-28,W,2.0,0.5,0.0,0.0,2.0,0.5,6.0,1.5,1.7,0.425,0.2,0.05,35.77540983606558,8.943852459016394,211.0,52.75,1.0,0.25,3.0,0.75,3.0,0.75,213.0,53.25,252.0,63.0,21.81693612210288,5.45423403052572,8.0,2.0,5.0,1.25,17.0,4.25,8.0,2.0,8.0,2.0,44.9,11.225,72.1,72.1,31.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,14.42,14.42,1
2018-05-09,L,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,12.0,4.0,0.2,0.06666666666666667,0.5,0.16666666666666666,11.799999999999999,3.933333333333333,229.0,45.8,2.0,0.4,7.0,1.4,7.0,1.4,232.0,46.4,278.0,55.6,33.70732052578362,6.741464105156725,5.0,1.25,5.0,1.25,9.0,2.25,9.0,2.25,9.0,2.25,37.9,9.475,80.0,80.0,16.0,16.0,1.0,1.0,0.0,0.0,16.0,16.0,13.5,13.5,0
