Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int,Match URL,Season, Touches, Tkl, Blocks,Expected xG,Expected npxG,Expected xAG,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Ast,xAG,xA,KP,PPA,CrsPA,PrgP,Position_Group,Rebalanced_Score,Week
2017-08-27,La Liga,Valencia,Toni Kroos,8.0,de GER,"CM,LM",27-235,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga,17_18,90.0,2.0,2.0,0.0,0.0,0.3,72.0,86.0,83.7,12.0,58.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,72.0,86.0,83.7,1532.0,478.0,25.0,27.0,92.6,30.0,33.0,90.9,17.0,26.0,0.0,0.3,0.2,2.0,1.0,1.0,12.0,Midfield,10.1575234270415,34
2017-08-27,La Liga,Valencia,Borja Mayoral,21.0,es ESP,"FW,LM",20-144,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga,17_18,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,23.0,2.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Forward,4.507777777777778,34
2017-08-27,La Liga,Valencia,Luka Modrić,10.0,hr CRO,"RM,CM",31-352,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga,17_18,76.0,0.0,3.0,0.1,0.1,0.0,60.0,66.0,90.9,16.0,62.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,60.0,66.0,90.9,1080.0,398.0,31.0,33.0,93.9,23.0,25.0,92.0,6.0,8.0,0.0,0.0,0.1,1.0,3.0,0.0,16.0,Midfield,7.780000000000001,34
2017-08-27,La Liga,Valencia,Marcelo,12.0,br BRA,LB,29-107,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga,17_18,90.0,2.0,2.0,0.1,0.1,0.5,62.0,80.0,77.5,11.0,53.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,62.0,80.0,77.5,1169.0,428.0,30.0,34.0,88.2,25.0,32.0,78.1,7.0,11.0,0.0,0.5,0.4,4.0,5.0,2.0,11.0,Defense,10.1,34
2017-08-27,La Liga,Valencia,Nacho,6.0,es ESP,CB,27-221,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga,17_18,53.0,0.0,0.0,0.0,0.0,0.0,47.0,51.0,92.2,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,47.0,51.0,92.2,833.0,359.0,20.0,23.0,87.0,22.0,22.0,100.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Defense,2.6,34
2017-08-27,La Liga,Valencia,Casemiro,14.0,br BRA,CB,25-185,90.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga,17_18,66.0,5.0,3.0,0.0,0.0,0.0,49.0,53.0,92.5,2.0,42.0,0.0,0.0,0.0,5.0,4.0,4.0,1.0,0.0,3.0,3.0,0.0,3.0,1.0,2.0,1.0,6.0,1.0,0.0,49.0,53.0,92.5,1187.0,447.0,13.0,14.0,92.9,21.0,22.0,95.5,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Defense,14.6,34
2017-08-27,La Liga,Valencia,Dani Carvajal,2.0,es ESP,RB,25-228,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga,17_18,98.0,3.0,1.0,0.0,0.0,0.5,71.0,88.0,80.7,8.0,63.0,2.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,4.0,0.0,71.0,88.0,80.7,1176.0,339.0,35.0,40.0,87.5,32.0,36.0,88.9,4.0,8.0,0.0,0.5,0.3,3.0,2.0,0.0,8.0,Defense,13.1,34
2017-08-27,La Liga,Valencia,Keylor Navas,1.0,cr CRC,GK,30-255,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/d17b7fbb/Real-Madrid-Valencia-August-27-2017-La-Liga,17_18,25.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,91.3,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,91.3,555.0,342.0,2.0,2.0,100.0,13.0,13.0,100.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,18.26,34
2017-09-09,La Liga,Levante,Karim Benzema,9.0,fr FRA,FW,29-264,27.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,https://fbref.com/en/matches/c638c636/Real-Madrid-Levante-September-9-2017-La-Liga,17_18,6.0,0.0,1.0,0.0,0.0,0.3,4.0,4.0,100.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,41.0,6.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.3,0.1,1.0,0.0,0.0,0.0,Forward,5.03,36
2017-09-09,La Liga,Levante,Gareth Bale,11.0,wls WAL,FW,28-055,63.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,https://fbref.com/en/matches/c638c636/Real-Madrid-Levante-September-9-2017-La-Liga,17_18,22.0,1.0,0.0,1.4,1.4,0.1,14.0,16.0,87.5,3.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,14.0,16.0,87.5,180.0,33.0,11.0,11.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,0.1,0.1,1.0,2.0,0.0,3.0,Forward,9.355714285714283,36
2017-09-09,La Liga,Levante,Marcelo,12.0,br BRA,LW,29-120,88.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,https://fbref.com/en/matches/c638c636/Real-Madrid-Levante-September-9-2017-La-Liga,17_18,85.0,2.0,0.0,0.0,0.0,0.2,54.0,76.0,71.1,12.0,62.0,4.0,5.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,54.0,76.0,71.1,766.0,270.0,28.0,29.0,96.6,22.0,31.0,71.0,1.0,10.0,0.0,0.2,0.3,4.0,4.0,1.0,12.0,Forward,1.631868686868687,36
2017-09-09,La Liga,Levante,Lucas Vázquez,17.0,es ESP,RW,26-070,71.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,https://fbref.com/en/matches/c638c636/Real-Madrid-Levante-September-9-2017-La-Liga,17_18,37.0,3.0,1.0,1.0,1.0,0.3,22.0,28.0,78.6,3.0,29.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,22.0,28.0,78.6,394.0,71.0,10.0,10.0,100.0,4.0,6.0,66.7,5.0,7.0,0.0,0.3,0.2,2.0,3.0,2.0,3.0,Forward,16.980297339593115,36
2017-09-09,La Liga,Levante,Mateo Kovačić,23.0,hr CRO,"RW,DM",23-126,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/c638c636/Real-Madrid-Levante-September-9-2017-La-Liga,17_18,4.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,72.0,27.0,1.0,1.0,100.0,1.0,2.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Forward,0.0211111111111111,36
2017-09-09,La Liga,Levante,Marco Asensio,20.0,es ESP,"AM,RW",21-231,90.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,https://fbref.com/en/matches/c638c636/Real-Madrid-Levante-September-9-2017-La-Liga,17_18,49.0,0.0,0.0,0.5,0.5,0.0,35.0,43.0,81.4,7.0,35.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,43.0,81.4,508.0,162.0,26.0,27.0,96.3,6.0,9.0,66.7,3.0,6.0,0.0,0.0,0.1,1.0,2.0,0.0,7.0,Forward,6.6,36
2017-09-09,La Liga,Levante,Toni Kroos,8.0,de GER,DM,27-248,90.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,https://fbref.com/en/matches/c638c636/Real-Madrid-Levante-September-9-2017-La-Liga,17_18,102.0,1.0,2.0,0.1,0.1,0.2,81.0,96.0,84.4,22.0,68.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,81.0,96.0,84.4,1635.0,540.0,31.0,33.0,93.9,36.0,41.0,87.8,12.0,19.0,0.0,0.2,0.2,3.0,2.0,0.0,22.0,Midfield,10.48,36
2017-09-09,La Liga,Levante,Marcos Llorente,18.0,es ESP,DM,22-222,61.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/c638c636/Real-Madrid-Levante-September-9-2017-La-Liga,17_18,55.0,1.0,0.0,0.0,0.0,0.0,48.0,52.0,92.3,3.0,49.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,48.0,52.0,92.3,840.0,119.0,21.0,23.0,91.3,22.0,23.0,95.7,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Midfield,5.331056466302368,36
