Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Int,Match URL,Season,Touches,Tkl,Blocks,Expected xG,Expected npxG,Expected xAG,SCA,GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,xAG,xA,KP,3-Jan,PPA,CrsPA,PrgP,SCA SCA,SCA GCA,1/3,Gls_per90,Ast_per90,Sh_per90,SoT_per90,PosGroup,Def_Action_Rate,Creativity_Index,Composite_Score,Composite_Score_roll3
2022-10-05,Champions League,Shakhtar Donetsk,Andriy Lunin,13.0,ua UKR,GK,23-236,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/0ff6ebda/Real-Madrid-Shakhtar-Donetsk-October-5-2022-Champions-League,2022.0,28.0,0.0,0.0,0.0,0.0,0.0,,,27.0,28.0,96.4,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,28.0,96.4,425.0,269.0,13.0,13.0,100.0,12.0,12.0,100.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0
2022-10-08,La Liga,Getafe,Andriy Lunin,13.0,ua UKR,GK,23-239,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/3e3f4235/Getafe-Real-Madrid-October-8-2022-La-Liga,2022.0,36.0,0.0,0.0,0.0,0.0,0.0,,,33.0,35.0,94.3,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,35.0,94.3,777.0,600.0,4.0,4.0,100.0,21.0,21.0,100.0,8.0,10.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0
2022-10-11,Champions League,Shakhtar Donetsk,Andriy Lunin,13.0,ua UKR,GK,23-242,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/c0689504/Shakhtar-Donetsk-Real-Madrid-October-11-2022-Champions-League,2022.0,17.0,0.0,0.0,0.0,0.0,0.0,,,14.0,15.0,93.3,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,15.0,93.3,187.0,143.0,11.0,11.0,100.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,GK,1.0,0.0,0.0,0.0
2022-10-16,La Liga,Clasico,Andriy Lunin,13.0,ua UKR,GK,23-247,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/c1875f22/El-Clasico-Real-Madrid-Barcelona-October-16-2022-La-Liga,2022.0,40.0,0.0,0.0,0.0,0.0,0.0,,,32.0,39.0,82.1,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,39.0,82.1,1034.0,729.0,9.0,9.0,100.0,11.0,11.0,100.0,12.0,18.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0
2022-10-19,La Liga,Elche,Andriy Lunin,13.0,ua UKR,GK,23-250,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/8cccf9d8/Elche-Real-Madrid-October-19-2022-La-Liga,2022.0,36.0,0.0,0.0,0.0,0.0,0.0,,,31.0,33.0,93.9,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,33.0,93.9,575.0,349.0,13.0,13.0,100.0,16.0,17.0,94.1,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0
2023-02-05,La Liga,Mallorca,Andriy Lunin,13.0,ua UKR,GK,23-359,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/a0914b2e/Mallorca-Real-Madrid-February-5-2023-La-Liga,2023.0,28.0,0.0,0.0,0.0,0.0,0.0,,,25.0,28.0,89.3,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,28.0,89.3,592.0,350.0,3.0,3.0,100.0,15.0,16.0,93.8,7.0,9.0,77.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0
2023-02-15,La Liga,Elche,Andriy Lunin,13.0,ua UKR,GK,24-004,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/aa81febc/Real-Madrid-Elche-February-15-2023-La-Liga,2023.0,34.0,0.0,0.0,0.0,0.0,0.0,,,32.0,34.0,94.1,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,34.0,94.1,595.0,314.0,10.0,10.0,100.0,19.0,19.0,100.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0
2023-04-25,La Liga,Girona,Andriy Lunin,13.0,ua UKR,GK,24-073,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/1a5972e4/Girona-Real-Madrid-April-25-2023-La-Liga,2023.0,36.0,0.0,0.0,0.0,0.0,0.0,,,30.0,35.0,85.7,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,35.0,85.7,716.0,347.0,5.0,5.0,100.0,17.0,18.0,94.4,8.0,12.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,GK,1.0,0.0,0.0,0.0
2023-08-12,La Liga,Athletic Club,Andriy Lunin,13.0,ua UKR,GK,24-182,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/c31f0a31/Athletic-Club-Real-Madrid-August-12-2023-La-Liga,2023.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,41.0,92.7,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,41.0,92.7,855.0,494.0,9.0,9.0,100.0,21.0,22.0,95.5,8.0,10.0,80.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0
2023-08-19,La Liga,Almeria,Andriy Lunin,13.0,ua UKR,GK,24-189,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/matches/33737218/Almeria-Real-Madrid-August-19-2023-La-Liga,2023.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,26.0,96.2,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,26.0,96.2,532.0,380.0,7.0,7.0,100.0,13.0,13.0,100.0,5.0,6.0,83.3,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,GK,0.0,0.0,0.0,0.0
