Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int,Match URL
10/15/16,La Liga,Real Betis,Cristiano Ronaldo,7,pt POR,FW,31-253,90,1,1,0,0,8,2,0,0,0,https://fbref.com/en/matches/c1eccc0b/Real-Betis-Real-Madrid-October-15-2016-La-Liga
10/15/16,La Liga,Real Betis,Gareth Bale,11,wls WAL,FW,27-091,78,0,0,0,0,4,0,0,0,0,https://fbref.com/en/matches/c1eccc0b/Real-Betis-Real-Madrid-October-15-2016-La-Liga
10/15/16,La Liga,Real Betis,Marco Asensio,20,es ESP,"FW,MF",20-268,12,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/c1eccc0b/Real-Betis-Real-Madrid-October-15-2016-La-Liga
10/15/16,La Liga,Real Betis,Isco,22,es ESP,CM,24-177,90,2,0,0,0,2,2,1,0,1,https://fbref.com/en/matches/c1eccc0b/Real-Betis-Real-Madrid-October-15-2016-La-Liga
10/15/16,La Liga,Real Betis,Toni Kroos,8,de GER,CM,26-285,90,0,2,0,0,0,0,0,0,1,https://fbref.com/en/matches/c1eccc0b/Real-Betis-Real-Madrid-October-15-2016-La-Liga
10/15/16,La Liga,Real Betis,Mateo Kovačić,16,hr CRO,CM,22-162,64,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/c1eccc0b/Real-Betis-Real-Madrid-October-15-2016-La-Liga
10/15/16,La Liga,Real Betis,Lucas Vázquez,17,es ESP,"DF,FW",25-106,26,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/c1eccc0b/Real-Betis-Real-Madrid-October-15-2016-La-Liga
10/15/16,La Liga,Real Betis,Marcelo,12,br BRA,LB,28-156,90,1,0,0,0,2,2,0,0,1,https://fbref.com/en/matches/c1eccc0b/Real-Betis-Real-Madrid-October-15-2016-La-Liga
10/15/16,La Liga,Real Betis,Raphaël Varane,5,fr FRA,CB,23-173,90,1,0,0,0,1,1,0,0,2,https://fbref.com/en/matches/c1eccc0b/Real-Betis-Real-Madrid-October-15-2016-La-Liga
10/15/16,La Liga,Real Betis,Pepe,3,pt POR,CB,33-232,90,0,1,0,0,0,0,0,0,4,https://fbref.com/en/matches/c1eccc0b/Real-Betis-Real-Madrid-October-15-2016-La-Liga
10/15/16,La Liga,Real Betis,Dani Carvajal,2,es ESP,RB,24-278,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/c1eccc0b/Real-Betis-Real-Madrid-October-15-2016-La-Liga
10/15/16,La Liga,Real Betis,Keylor Navas,1,cr CRC,GK,29-305,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/c1eccc0b/Real-Betis-Real-Madrid-October-15-2016-La-Liga
10/18/16,Champions League,Legia Warsaw,Karim Benzema,9,fr FRA,FW,28-304,90,0,0,0,0,8,4,0,0,0,https://fbref.com/en/matches/d6e1ebe4/Real-Madrid-Legia-Warsaw-October-18-2016-Champions-League
10/18/16,Champions League,Legia Warsaw,Cristiano Ronaldo,7,pt POR,FW,31-256,90,0,2,0,0,9,2,1,0,1,https://fbref.com/en/matches/d6e1ebe4/Real-Madrid-Legia-Warsaw-October-18-2016-Champions-League
10/18/16,Champions League,Legia Warsaw,Gareth Bale,11,wls WAL,FW,27-094,64,1,0,0,0,4,1,0,0,1,https://fbref.com/en/matches/d6e1ebe4/Real-Madrid-Legia-Warsaw-October-18-2016-Champions-League
10/18/16,Champions League,Legia Warsaw,Álvaro Morata,21,es ESP,FW,23-361,26,1,1,0,0,2,1,0,0,0,https://fbref.com/en/matches/d6e1ebe4/Real-Madrid-Legia-Warsaw-October-18-2016-Champions-League
10/18/16,Champions League,Legia Warsaw,James Rodríguez,10,co COL,CM,25-098,63,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/d6e1ebe4/Real-Madrid-Legia-Warsaw-October-18-2016-Champions-League
10/18/16,Champions League,Legia Warsaw,Lucas Vázquez,17,es ESP,"DF,FW",25-109,27,1,0,0,0,1,1,0,0,0,https://fbref.com/en/matches/d6e1ebe4/Real-Madrid-Legia-Warsaw-October-18-2016-Champions-League
10/18/16,Champions League,Legia Warsaw,Toni Kroos,8,de GER,CM,26-288,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/d6e1ebe4/Real-Madrid-Legia-Warsaw-October-18-2016-Champions-League
10/18/16,Champions League,Legia Warsaw,Marco Asensio,20,es ESP,CM,20-271,79,1,0,0,0,4,2,0,0,0,https://fbref.com/en/matches/d6e1ebe4/Real-Madrid-Legia-Warsaw-October-18-2016-Champions-League
10/18/16,Champions League,Legia Warsaw,Mateo Kovačić,16,hr CRO,MF,22-165,11,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/d6e1ebe4/Real-Madrid-Legia-Warsaw-October-18-2016-Champions-League
10/18/16,Champions League,Legia Warsaw,Marcelo,12,br BRA,LB,28-159,90,0,0,0,0,2,1,0,0,2,https://fbref.com/en/matches/d6e1ebe4/Real-Madrid-Legia-Warsaw-October-18-2016-Champions-League
10/18/16,Champions League,Legia Warsaw,Raphaël Varane,5,fr FRA,CB,23-176,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/d6e1ebe4/Real-Madrid-Legia-Warsaw-October-18-2016-Champions-League
10/18/16,Champions League,Legia Warsaw,Pepe,3,pt POR,CB,33-235,90,0,0,0,0,0,0,0,0,5,https://fbref.com/en/matches/d6e1ebe4/Real-Madrid-Legia-Warsaw-October-18-2016-Champions-League
10/18/16,Champions League,Legia Warsaw,Danilo,23,br BRA,RB,25-095,90,0,1,0,0,0,0,0,0,0,https://fbref.com/en/matches/d6e1ebe4/Real-Madrid-Legia-Warsaw-October-18-2016-Champions-League
10/18/16,Champions League,Legia Warsaw,Keylor Navas,1,cr CRC,GK,29-308,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/d6e1ebe4/Real-Madrid-Legia-Warsaw-October-18-2016-Champions-League
10/23/16,La Liga,Athletic Club,Karim Benzema,9,fr FRA,FW,28-309,74,1,0,0,0,2,2,0,0,0,https://fbref.com/en/matches/6a5a59c7/Real-Madrid-Athletic-Club-October-23-2016-La-Liga
10/23/16,La Liga,Athletic Club,Álvaro Morata,21,es ESP,FW,24-000,16,1,0,0,0,3,2,1,0,0,https://fbref.com/en/matches/6a5a59c7/Real-Madrid-Athletic-Club-October-23-2016-La-Liga
10/23/16,La Liga,Athletic Club,Cristiano Ronaldo,7,pt POR,FW,31-261,90,0,0,0,0,11,2,0,0,0,https://fbref.com/en/matches/6a5a59c7/Real-Madrid-Athletic-Club-October-23-2016-La-Liga
10/23/16,La Liga,Athletic Club,Gareth Bale,11,wls WAL,FW,27-099,90,0,0,0,0,3,0,0,0,0,https://fbref.com/en/matches/6a5a59c7/Real-Madrid-Athletic-Club-October-23-2016-La-Liga
10/23/16,La Liga,Athletic Club,Isco,22,es ESP,CM,24-185,64,0,1,0,0,0,0,0,0,2,https://fbref.com/en/matches/6a5a59c7/Real-Madrid-Athletic-Club-October-23-2016-La-Liga
10/23/16,La Liga,Athletic Club,Lucas Vázquez,17,es ESP,"DF,FW",25-114,26,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/6a5a59c7/Real-Madrid-Athletic-Club-October-23-2016-La-Liga
10/23/16,La Liga,Athletic Club,Toni Kroos,8,de GER,CM,26-293,90,0,0,0,0,2,1,0,0,0,https://fbref.com/en/matches/6a5a59c7/Real-Madrid-Athletic-Club-October-23-2016-La-Liga
10/23/16,La Liga,Athletic Club,Mateo Kovačić,16,hr CRO,CM,22-170,90,0,0,0,0,2,0,0,0,3,https://fbref.com/en/matches/6a5a59c7/Real-Madrid-Athletic-Club-October-23-2016-La-Liga
10/23/16,La Liga,Athletic Club,Marcelo,12,br BRA,LB,28-164,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/6a5a59c7/Real-Madrid-Athletic-Club-October-23-2016-La-Liga
10/23/16,La Liga,Athletic Club,Raphaël Varane,5,fr FRA,CB,23-181,90,0,0,0,0,0,0,0,0,4,https://fbref.com/en/matches/6a5a59c7/Real-Madrid-Athletic-Club-October-23-2016-La-Liga
10/23/16,La Liga,Athletic Club,Pepe,3,pt POR,CB,33-240,90,0,0,0,0,0,0,0,0,3,https://fbref.com/en/matches/6a5a59c7/Real-Madrid-Athletic-Club-October-23-2016-La-Liga
10/23/16,La Liga,Athletic Club,Dani Carvajal,2,es ESP,RB,24-286,90,0,0,0,0,1,1,1,0,3,https://fbref.com/en/matches/6a5a59c7/Real-Madrid-Athletic-Club-October-23-2016-La-Liga
10/23/16,La Liga,Athletic Club,Keylor Navas,1,cr CRC,GK,29-313,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/6a5a59c7/Real-Madrid-Athletic-Club-October-23-2016-La-Liga
10/29/16,La Liga,Alaves,Karim Benzema,9,fr FRA,AM,28-315,66,0,1,0,0,0,0,0,0,0,https://fbref.com/en/matches/48d1920e/Alaves-Real-Madrid-October-29-2016-La-Liga
10/29/16,La Liga,Alaves,Álvaro Morata,21,es ESP,FW,24-006,24,1,0,0,0,1,1,0,0,0,https://fbref.com/en/matches/48d1920e/Alaves-Real-Madrid-October-29-2016-La-Liga
10/29/16,La Liga,Alaves,Cristiano Ronaldo,7,pt POR,FW,31-267,90,3,0,1,2,8,4,0,0,1,https://fbref.com/en/matches/48d1920e/Alaves-Real-Madrid-October-29-2016-La-Liga
10/29/16,La Liga,Alaves,Gareth Bale,11,wls WAL,AM,27-105,85,0,0,0,0,4,0,1,0,1,https://fbref.com/en/matches/48d1920e/Alaves-Real-Madrid-October-29-2016-La-Liga
10/29/16,La Liga,Alaves,Lucas Vázquez,17,es ESP,"DF,FW",25-120,5,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/48d1920e/Alaves-Real-Madrid-October-29-2016-La-Liga
10/29/16,La Liga,Alaves,Isco,22,es ESP,AM,24-191,90,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/48d1920e/Alaves-Real-Madrid-October-29-2016-La-Liga
10/29/16,La Liga,Alaves,Toni Kroos,8,de GER,DM,26-299,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/48d1920e/Alaves-Real-Madrid-October-29-2016-La-Liga
10/29/16,La Liga,Alaves,Mateo Kovačić,16,hr CRO,DM,22-176,90,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/48d1920e/Alaves-Real-Madrid-October-29-2016-La-Liga
10/29/16,La Liga,Alaves,Marcelo,12,br BRA,LB,28-170,90,0,2,0,0,0,0,0,0,2,https://fbref.com/en/matches/48d1920e/Alaves-Real-Madrid-October-29-2016-La-Liga
10/29/16,La Liga,Alaves,Raphaël Varane,5,fr FRA,CB,23-187,90,0,0,0,0,0,0,0,0,3,https://fbref.com/en/matches/48d1920e/Alaves-Real-Madrid-October-29-2016-La-Liga
10/29/16,La Liga,Alaves,Pepe,3,pt POR,CB,33-246,23,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/48d1920e/Alaves-Real-Madrid-October-29-2016-La-Liga
10/29/16,La Liga,Alaves,Nacho,6,es ESP,DF,26-285,67,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/48d1920e/Alaves-Real-Madrid-October-29-2016-La-Liga
10/29/16,La Liga,Alaves,Danilo,23,br BRA,RB,25-106,90,0,0,0,0,0,0,0,0,3,https://fbref.com/en/matches/48d1920e/Alaves-Real-Madrid-October-29-2016-La-Liga
10/29/16,La Liga,Alaves,Keylor Navas,1,cr CRC,GK,29-319,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/48d1920e/Alaves-Real-Madrid-October-29-2016-La-Liga
11/2/16,Champions League,Legia Warsaw,Cristiano Ronaldo,7,pt POR,LW,31-271,90,0,1,0,0,9,2,0,0,0,https://fbref.com/en/matches/0eb8c526/Legia-Warsaw-Real-Madrid-November-2-2016-Champions-League
11/2/16,Champions League,Legia Warsaw,Karim Benzema,9,fr FRA,FW,28-319,65,1,0,0,0,3,2,0,0,0,https://fbref.com/en/matches/0eb8c526/Legia-Warsaw-Real-Madrid-November-2-2016-Champions-League
11/2/16,Champions League,Legia Warsaw,Lucas Vázquez,17,es ESP,"DF,FW",25-124,25,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/0eb8c526/Legia-Warsaw-Real-Madrid-November-2-2016-Champions-League
11/2/16,Champions League,Legia Warsaw,Álvaro Morata,21,es ESP,FW,24-010,85,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/0eb8c526/Legia-Warsaw-Real-Madrid-November-2-2016-Champions-League
11/2/16,Champions League,Legia Warsaw,Mariano,18,do DOM,FW,23-093,5,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/0eb8c526/Legia-Warsaw-Real-Madrid-November-2-2016-Champions-League
11/2/16,Champions League,Legia Warsaw,Toni Kroos,8,de GER,CM,26-303,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/0eb8c526/Legia-Warsaw-Real-Madrid-November-2-2016-Champions-League
11/2/16,Champions League,Legia Warsaw,Mateo Kovačić,16,hr CRO,CM,22-180,90,1,0,0,0,2,2,0,0,0,https://fbref.com/en/matches/0eb8c526/Legia-Warsaw-Real-Madrid-November-2-2016-Champions-League
11/2/16,Champions League,Legia Warsaw,Gareth Bale,11,wls WAL,RW,27-109,90,1,1,0,0,9,4,0,0,3,https://fbref.com/en/matches/0eb8c526/Legia-Warsaw-Real-Madrid-November-2-2016-Champions-League
11/2/16,Champions League,Legia Warsaw,Fábio Coentrão,15,pt POR,LB,28-236,77,0,0,0,0,0,0,0,0,5,https://fbref.com/en/matches/0eb8c526/Legia-Warsaw-Real-Madrid-November-2-2016-Champions-League
11/2/16,Champions League,Legia Warsaw,Marco Asensio,20,es ESP,"FW,MF",20-286,13,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/0eb8c526/Legia-Warsaw-Real-Madrid-November-2-2016-Champions-League
11/2/16,Champions League,Legia Warsaw,Nacho,6,es ESP,CB,26-289,90,0,0,0,0,1,0,0,0,6,https://fbref.com/en/matches/0eb8c526/Legia-Warsaw-Real-Madrid-November-2-2016-Champions-League
11/2/16,Champions League,Legia Warsaw,Raphaël Varane,5,fr FRA,CB,23-191,90,0,0,0,0,1,1,0,0,2,https://fbref.com/en/matches/0eb8c526/Legia-Warsaw-Real-Madrid-November-2-2016-Champions-League
11/2/16,Champions League,Legia Warsaw,Dani Carvajal,2,es ESP,RB,24-296,90,0,1,0,0,0,0,0,0,5,https://fbref.com/en/matches/0eb8c526/Legia-Warsaw-Real-Madrid-November-2-2016-Champions-League
11/2/16,Champions League,Legia Warsaw,Keylor Navas,1,cr CRC,GK,29-323,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/0eb8c526/Legia-Warsaw-Real-Madrid-November-2-2016-Champions-League
11/6/16,La Liga,Leganes,Álvaro Morata,21,es ESP,FW,24-014,81,1,1,0,0,2,1,0,0,0,https://fbref.com/en/matches/ab44f441/Real-Madrid-Leganes-November-6-2016-La-Liga
11/6/16,La Liga,Leganes,Lucas Vázquez,17,es ESP,"DF,FW",25-128,9,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/ab44f441/Real-Madrid-Leganes-November-6-2016-La-Liga
11/6/16,La Liga,Leganes,Cristiano Ronaldo,7,pt POR,FW,31-275,90,0,0,0,0,3,0,1,0,0,https://fbref.com/en/matches/ab44f441/Real-Madrid-Leganes-November-6-2016-La-Liga
11/6/16,La Liga,Leganes,Gareth Bale,11,wls WAL,FW,27-113,90,2,0,0,0,8,6,0,0,1,https://fbref.com/en/matches/ab44f441/Real-Madrid-Leganes-November-6-2016-La-Liga
11/6/16,La Liga,Leganes,Isco,22,es ESP,CM,24-199,67,0,1,0,0,2,0,0,0,0,https://fbref.com/en/matches/ab44f441/Real-Madrid-Leganes-November-6-2016-La-Liga
11/6/16,La Liga,Leganes,James Rodríguez,10,co COL,"FW,MF",25-117,23,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/ab44f441/Real-Madrid-Leganes-November-6-2016-La-Liga
11/6/16,La Liga,Leganes,Toni Kroos,8,de GER,CM,26-307,90,0,1,0,0,0,0,1,0,2,https://fbref.com/en/matches/ab44f441/Real-Madrid-Leganes-November-6-2016-La-Liga
11/6/16,La Liga,Leganes,Mateo Kovačić,16,hr CRO,CM,22-184,61,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/ab44f441/Real-Madrid-Leganes-November-6-2016-La-Liga
11/6/16,La Liga,Leganes,Luka Modrić,19,hr CRO,MF,31-058,29,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/ab44f441/Real-Madrid-Leganes-November-6-2016-La-Liga
11/6/16,La Liga,Leganes,Marcelo,12,br BRA,LB,28-178,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/ab44f441/Real-Madrid-Leganes-November-6-2016-La-Liga
11/6/16,La Liga,Leganes,Nacho,6,es ESP,CB,26-293,90,0,0,0,0,0,0,1,0,2,https://fbref.com/en/matches/ab44f441/Real-Madrid-Leganes-November-6-2016-La-Liga
11/6/16,La Liga,Leganes,Raphaël Varane,5,fr FRA,CB,23-195,90,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/ab44f441/Real-Madrid-Leganes-November-6-2016-La-Liga
11/6/16,La Liga,Leganes,Dani Carvajal,2,es ESP,RB,24-300,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/ab44f441/Real-Madrid-Leganes-November-6-2016-La-Liga
11/6/16,La Liga,Leganes,Keylor Navas,1,cr CRC,GK,29-327,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/ab44f441/Real-Madrid-Leganes-November-6-2016-La-Liga
11/19/16,La Liga,Atletico Madrid,Cristiano Ronaldo,7,pt POR,FW,31-288,82,3,0,1,1,5,5,1,0,0,https://fbref.com/en/matches/5cdc1d3c/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-19-2016-La-Liga
11/19/16,La Liga,Atletico Madrid,James Rodríguez,10,co COL,"FW,MF",25-130,8,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/5cdc1d3c/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-19-2016-La-Liga
11/19/16,La Liga,Atletico Madrid,Gareth Bale,11,wls WAL,FW,27-126,90,0,1,0,0,1,0,0,0,3,https://fbref.com/en/matches/5cdc1d3c/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-19-2016-La-Liga
11/19/16,La Liga,Atletico Madrid,Lucas Vázquez,17,es ESP,FW,25-141,85,0,0,0,0,0,0,1,0,0,https://fbref.com/en/matches/5cdc1d3c/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-19-2016-La-Liga
11/19/16,La Liga,Atletico Madrid,Marco Asensio,20,es ESP,"FW,MF",20-303,5,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/5cdc1d3c/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-19-2016-La-Liga
11/19/16,La Liga,Atletico Madrid,Isco,22,es ESP,CM,24-212,78,0,0,0,0,1,1,0,0,1,https://fbref.com/en/matches/5cdc1d3c/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-19-2016-La-Liga
11/19/16,La Liga,Atletico Madrid,Karim Benzema,9,fr FRA,FW,28-336,12,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/5cdc1d3c/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-19-2016-La-Liga
11/19/16,La Liga,Atletico Madrid,Mateo Kovačić,16,hr CRO,CM,22-197,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/5cdc1d3c/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-19-2016-La-Liga
11/19/16,La Liga,Atletico Madrid,Luka Modrić,19,hr CRO,CM,31-071,90,0,0,0,0,2,1,0,0,1,https://fbref.com/en/matches/5cdc1d3c/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-19-2016-La-Liga
11/19/16,La Liga,Atletico Madrid,Marcelo,12,br BRA,LB,28-191,90,0,0,0,0,1,0,0,0,2,https://fbref.com/en/matches/5cdc1d3c/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-19-2016-La-Liga
11/19/16,La Liga,Atletico Madrid,Nacho,6,es ESP,CB,26-306,90,0,0,0,0,0,0,0,0,6,https://fbref.com/en/matches/5cdc1d3c/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-19-2016-La-Liga
11/19/16,La Liga,Atletico Madrid,Raphaël Varane,5,fr FRA,CB,23-208,90,0,0,0,0,1,0,0,0,3,https://fbref.com/en/matches/5cdc1d3c/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-19-2016-La-Liga
11/19/16,La Liga,Atletico Madrid,Dani Carvajal,2,es ESP,RB,24-313,90,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/5cdc1d3c/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-19-2016-La-Liga
11/19/16,La Liga,Atletico Madrid,Keylor Navas,1,cr CRC,GK,29-340,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/5cdc1d3c/El-Derbi-Madrileno-Atletico-Madrid-Real-Madrid-November-19-2016-La-Liga
11/22/16,Champions League,Sporting Cp,Cristiano Ronaldo,7,pt POR,FW,31-291,90,0,1,0,0,2,0,0,0,0,https://fbref.com/en/matches/342d6f10/Sporting-CP-Real-Madrid-November-22-2016-Champions-League
11/22/16,Champions League,Sporting Cp,Gareth Bale,11,wls WAL,LW,27-129,58,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/342d6f10/Sporting-CP-Real-Madrid-November-22-2016-Champions-League
11/22/16,Champions League,Sporting Cp,Marco Asensio,20,es ESP,"FW,MF",20-306,32,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/342d6f10/Sporting-CP-Real-Madrid-November-22-2016-Champions-League
11/22/16,Champions League,Sporting Cp,Lucas Vázquez,17,es ESP,RW,25-144,90,0,0,0,0,2,0,0,0,3,https://fbref.com/en/matches/342d6f10/Sporting-CP-Real-Madrid-November-22-2016-Champions-League
11/22/16,Champions League,Sporting Cp,Isco,22,es ESP,FW,24-215,67,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/342d6f10/Sporting-CP-Real-Madrid-November-22-2016-Champions-League
11/22/16,Champions League,Sporting Cp,Karim Benzema,9,fr FRA,FW,28-339,23,1,0,0,0,1,1,0,0,0,https://fbref.com/en/matches/342d6f10/Sporting-CP-Real-Madrid-November-22-2016-Champions-League
11/22/16,Champions League,Sporting Cp,Mateo Kovačić,16,hr CRO,CM,22-200,90,0,0,0,0,0,0,1,0,2,https://fbref.com/en/matches/342d6f10/Sporting-CP-Real-Madrid-November-22-2016-Champions-League
11/22/16,Champions League,Sporting Cp,Luka Modrić,19,hr CRO,CM,31-074,90,0,0,0,0,1,0,0,0,2,https://fbref.com/en/matches/342d6f10/Sporting-CP-Real-Madrid-November-22-2016-Champions-League
11/22/16,Champions League,Sporting Cp,Marcelo,12,br BRA,LB,28-194,71,0,0,0,0,1,0,1,0,1,https://fbref.com/en/matches/342d6f10/Sporting-CP-Real-Madrid-November-22-2016-Champions-League
11/22/16,Champions League,Sporting Cp,Fábio Coentrão,15,pt POR,DF,28-256,19,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/342d6f10/Sporting-CP-Real-Madrid-November-22-2016-Champions-League
11/22/16,Champions League,Sporting Cp,Raphaël Varane,5,fr FRA,CB,23-211,90,1,0,0,0,2,1,0,0,1,https://fbref.com/en/matches/342d6f10/Sporting-CP-Real-Madrid-November-22-2016-Champions-League
11/22/16,Champions League,Sporting Cp,Sergio Ramos,4,es ESP,CB,30-237,90,0,1,0,0,1,0,0,0,0,https://fbref.com/en/matches/342d6f10/Sporting-CP-Real-Madrid-November-22-2016-Champions-League
11/22/16,Champions League,Sporting Cp,Dani Carvajal,2,es ESP,RB,24-316,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/342d6f10/Sporting-CP-Real-Madrid-November-22-2016-Champions-League
11/22/16,Champions League,Sporting Cp,Keylor Navas,1,cr CRC,GK,29-343,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/342d6f10/Sporting-CP-Real-Madrid-November-22-2016-Champions-League
11/26/16,La Liga,Sporting Gijon,Karim Benzema,9,fr FRA,FW,28-343,90,0,0,0,0,2,1,0,0,0,https://fbref.com/en/matches/1087396b/Real-Madrid-Sporting-Gijon-November-26-2016-La-Liga
11/26/16,La Liga,Sporting Gijon,Cristiano Ronaldo,7,pt POR,AM,31-295,90,2,0,1,1,7,5,0,0,0,https://fbref.com/en/matches/1087396b/Real-Madrid-Sporting-Gijon-November-26-2016-La-Liga
11/26/16,La Liga,Sporting Gijon,Lucas Vázquez,17,es ESP,AM,25-148,90,0,0,0,0,2,0,0,0,1,https://fbref.com/en/matches/1087396b/Real-Madrid-Sporting-Gijon-November-26-2016-La-Liga
11/26/16,La Liga,Sporting Gijon,James Rodríguez,10,co COL,AM,25-137,71,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/1087396b/Real-Madrid-Sporting-Gijon-November-26-2016-La-Liga
11/26/16,La Liga,Sporting Gijon,Marco Asensio,20,es ESP,"FW,MF",20-310,19,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/1087396b/Real-Madrid-Sporting-Gijon-November-26-2016-La-Liga
11/26/16,La Liga,Sporting Gijon,Mateo Kovačić,16,hr CRO,DM,22-204,80,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/1087396b/Real-Madrid-Sporting-Gijon-November-26-2016-La-Liga
11/26/16,La Liga,Sporting Gijon,Isco,22,es ESP,"FW,MF",24-219,10,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/1087396b/Real-Madrid-Sporting-Gijon-November-26-2016-La-Liga
11/26/16,La Liga,Sporting Gijon,Luka Modrić,19,hr CRO,DM,31-078,90,0,0,0,0,1,0,0,0,2,https://fbref.com/en/matches/1087396b/Real-Madrid-Sporting-Gijon-November-26-2016-La-Liga
11/26/16,La Liga,Sporting Gijon,Nacho,6,es ESP,LB,26-313,90,0,1,0,0,2,1,1,0,2,https://fbref.com/en/matches/1087396b/Real-Madrid-Sporting-Gijon-November-26-2016-La-Liga
11/26/16,La Liga,Sporting Gijon,Sergio Ramos,4,es ESP,CB,30-241,71,0,0,0,0,1,0,0,0,4,https://fbref.com/en/matches/1087396b/Real-Madrid-Sporting-Gijon-November-26-2016-La-Liga
11/26/16,La Liga,Sporting Gijon,Marcelo,12,br BRA,"DF,MF",28-198,19,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/1087396b/Real-Madrid-Sporting-Gijon-November-26-2016-La-Liga
11/26/16,La Liga,Sporting Gijon,Pepe,3,pt POR,CB,33-274,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/1087396b/Real-Madrid-Sporting-Gijon-November-26-2016-La-Liga
11/26/16,La Liga,Sporting Gijon,Danilo,23,br BRA,RB,25-134,90,0,0,0,0,0,0,0,0,4,https://fbref.com/en/matches/1087396b/Real-Madrid-Sporting-Gijon-November-26-2016-La-Liga
11/26/16,La Liga,Sporting Gijon,Keylor Navas,1,cr CRC,GK,29-347,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/1087396b/Real-Madrid-Sporting-Gijon-November-26-2016-La-Liga
12/3/16,La Liga,Barcelona,Karim Benzema,9,fr FRA,FW,28-350,76,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/b5cd1031/El-Clasico-Barcelona-Real-Madrid-December-3-2016-La-Liga
