Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int, Touches, Tkl, Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match URL
8/26/18,La Liga,Girona,Marcelo,12,br BRA,LB,30-106,59,0,0,0,0,2,0,0,0,0,55,0,1,0.1,0.1,0.2,5,0,41,49,83.7,5,37,3,1,1,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,0,41,49,83.7,688,262,21,22,95.5,18,20,90,2,6,33.3,0,0.2,0.2,3,3,4,1,5,https://fbref.com/en/matches/5aa7f90b/Girona-Real-Madrid-August-26-2018-La-Liga
8/26/18,La Liga,Girona,Raphaël Varane,5,fr FRA,CB,25-123,31,0,0,0,0,1,1,0,0,0,29,0,1,0,0,0,0,0,22,23,95.7,1,18,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,22,23,95.7,401,130,9,9,100,11,11,100,2,3,66.7,0,0,0,0,1,0,0,1,https://fbref.com/en/matches/5aa7f90b/Girona-Real-Madrid-August-26-2018-La-Liga
8/26/18,La Liga,Girona,Sergio Ramos,4,es ESP,CB,32-149,90,1,0,1,1,2,0,0,0,1,66,2,0,1,0.2,0,0,0,55,59,93.2,4,45,0,0,0,2,1,1,1,0,2,3,66.7,1,0,0,0,1,3,2,0,55,59,93.2,1020,456,28,30,93.3,21,23,91.3,6,6,100,0,0,0,0,3,0,0,4,https://fbref.com/en/matches/5aa7f90b/Girona-Real-Madrid-August-26-2018-La-Liga
8/26/18,La Liga,Girona,Nacho,6,es ESP,"CB,LB",28-220,90,0,0,0,0,1,0,0,0,1,80,2,1,0,0,0,1,0,64,71,90.1,2,52,1,0,0,2,2,2,0,0,1,2,50,1,1,1,0,1,3,3,0,64,71,90.1,1144,363,27,28,96.4,31,35,88.6,5,5,100,0,0,0,1,2,0,0,2,https://fbref.com/en/matches/5aa7f90b/Girona-Real-Madrid-August-26-2018-La-Liga
8/26/18,La Liga,Girona,Dani Carvajal,2,es ESP,RB,26-227,90,0,0,0,0,0,0,1,0,2,99,1,1,0,0,0,0,0,78,90,86.7,3,59,2,4,1,1,1,0,0,1,1,3,33.3,2,1,0,1,2,3,3,0,78,90,86.7,1355,352,39,42,92.9,30,35,85.7,8,11,72.7,0,0,0,0,3,0,0,3,https://fbref.com/en/matches/5aa7f90b/Girona-Real-Madrid-August-26-2018-La-Liga
8/26/18,La Liga,Girona,Keylor Navas,1,cr CRC,GK,31-254,90,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,34,38,89.5,0,27,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,34,38,89.5,870,519,4,4,100,23,23,100,7,11,63.6,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/5aa7f90b/Girona-Real-Madrid-August-26-2018-La-Liga
9/1/18,La Liga,Leganes,Karim Benzema,9,fr FRA,FW,30-256,90,2,0,0,0,4,3,0,0,0,47,0,0,0.2,0.2,0,3,1,33,38,86.8,4,26,3,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,33,38,86.8,483,68,19,22,86.4,9,10,90,3,3,100,0,0,0.2,0,1,2,0,4,https://fbref.com/en/matches/273a53fc/Real-Madrid-Leganes-September-1-2018-La-Liga
9/1/18,La Liga,Leganes,Marco Asensio,20,es ESP,LW,22-223,77,0,1,0,0,3,1,0,0,0,65,0,1,0.4,0.4,0.2,7,2,48,57,84.2,3,55,7,3,3,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,48,57,84.2,761,123,25,28,89.3,10,14,71.4,8,9,88.9,1,0.2,0.2,4,2,4,3,3,https://fbref.com/en/matches/273a53fc/Real-Madrid-Leganes-September-1-2018-La-Liga
9/1/18,La Liga,Leganes,Dani Ceballos,24,es ESP,LW,22-025,13,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,27,27,100,3,22,0,2,2,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,27,27,100,461,67,12,12,100,10,10,100,3,3,100,0,0,0,0,3,0,0,3,https://fbref.com/en/matches/273a53fc/Real-Madrid-Leganes-September-1-2018-La-Liga
9/1/18,La Liga,Leganes,Gareth Bale,11,wls WAL,RW,29-047,84,1,0,0,0,5,2,0,0,0,75,0,0,0.5,0.5,0,1,0,51,65,78.5,9,63,9,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,51,65,78.5,877,154,26,28,92.9,15,17,88.2,6,13,46.2,0,0,0.1,0,6,2,0,9,https://fbref.com/en/matches/273a53fc/Real-Madrid-Leganes-September-1-2018-La-Liga
9/1/18,La Liga,Leganes,Lucas Vázquez,17,es ESP,RW,27-062,6,0,0,0,0,0,0,0,0,1,10,2,0,0,0,0.4,1,0,5,7,71.4,0,5,2,0,0,2,2,0,2,0,2,2,100,0,0,0,0,1,3,0,0,5,7,71.4,69,10,3,4,75,2,2,100,0,0,,0,0.4,0.2,1,0,0,0,0,https://fbref.com/en/matches/273a53fc/Real-Madrid-Leganes-September-1-2018-La-Liga
9/1/18,La Liga,Leganes,Toni Kroos,8,de GER,LM,28-240,90,0,0,0,0,2,0,0,0,0,118,1,0,0.1,0.1,0.1,4,0,103,112,92,10,86,1,0,0,1,0,0,1,0,1,1,100,0,0,0,0,0,1,0,0,103,112,92,1801,567,51,52,98.1,35,36,97.2,14,20,70,0,0.1,0.1,2,9,1,0,10,https://fbref.com/en/matches/273a53fc/Real-Madrid-Leganes-September-1-2018-La-Liga
9/1/18,La Liga,Leganes,Casemiro,14,br BRA,CM,26-190,90,0,0,0,0,0,0,0,0,1,91,3,1,0,0,0,0,0,74,86,86,5,58,0,0,0,3,2,1,2,0,0,0,,0,1,1,0,1,4,0,0,74,86,86,1252,356,37,43,86,27,29,93.1,8,11,72.7,0,0,0,0,6,0,0,5,https://fbref.com/en/matches/273a53fc/Real-Madrid-Leganes-September-1-2018-La-Liga
9/1/18,La Liga,Leganes,Luka Modrić,10,hr CRO,RM,32-357,61,0,1,0,0,0,0,1,0,0,63,0,0,0,0,0.1,4,1,51,58,87.9,6,52,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,51,58,87.9,794,245,25,26,96.2,18,20,90,4,5,80,1,0.1,0.1,1,8,1,0,6,https://fbref.com/en/matches/273a53fc/Real-Madrid-Leganes-September-1-2018-La-Liga
9/1/18,La Liga,Leganes,Isco,22,es ESP,RM,26-133,29,0,0,0,0,1,1,0,0,1,45,0,0,0.4,0.4,0,0,0,37,40,92.5,3,36,0,4,3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,37,40,92.5,590,108,24,24,100,7,9,77.8,4,5,80,0,0,0,0,4,0,0,3,https://fbref.com/en/matches/273a53fc/Real-Madrid-Leganes-September-1-2018-La-Liga
9/1/18,La Liga,Leganes,Marcelo,12,br BRA,LB,30-112,90,0,0,0,0,0,0,0,0,1,115,3,0,0,0,0.4,6,2,93,107,86.9,10,92,3,1,0,3,2,1,2,0,1,2,50,1,0,0,0,1,4,0,0,93,107,86.9,1273,386,59,60,98.3,21,28,75,6,11,54.5,0,0.4,0.1,2,4,4,1,10,https://fbref.com/en/matches/273a53fc/Real-Madrid-Leganes-September-1-2018-La-Liga
9/1/18,La Liga,Leganes,Sergio Ramos,4,es ESP,CB,32-155,90,1,0,1,1,0,0,0,0,1,121,2,0,0.8,0,0,1,1,108,114,94.7,9,91,1,0,0,2,2,1,1,0,0,0,,0,0,0,0,1,3,2,0,108,114,94.7,2237,724,40,41,97.6,45,46,97.8,19,22,86.4,0,0,0,0,10,1,0,9,https://fbref.com/en/matches/273a53fc/Real-Madrid-Leganes-September-1-2018-La-Liga
